# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Pearson correlation coefficient matrix,
# see scipy.stats.pearsonr() docs for details.
# -----------------------------------
	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	V_H	V_BW	Con
nv	1.0	-0.6000410808466807	-0.18271404967029692	-0.1200837072279781	0.19235039551121647	0.39026947404150925	0.2290726676808772	0.06992474122194374	0.0014146164450519888	-0.33829641006321826	-0.04652055306788025	0.10292452280099129	0.23983409896396107	0.11806788030576512	0.0022702877142046288	-0.44854762548648847	0.69948625487265	0.6512158577710829	0.22256858822609615
Rv	-0.6000410808466807	1.0	0.5274027628830598	0.023468117488709615	0.04475184563767584	-0.11876051441683337	-0.30074573223471635	-0.08366058117253472	-0.08405248473551453	0.2389225080684093	0.07363100867175354	0.09131092652747762	-0.04835701157432498	-0.1892814234590382	-0.06658837419998102	0.1766395843799965	-0.019114182164565827	-0.025789164307568512	-0.007325560118034619
Z	-0.18271404967029692	0.5274027628830598	1.0	0.027985392444673907	0.13487055911491685	-0.15676471599213654	-0.06951186259376084	-0.042919014615410825	-0.1514862514484843	0.23357284529823924	0.07535359194809899	-0.023729027030275032	-0.026979753809237762	0.024225741729336538	-0.12216038589134784	0.01037434265495997	0.04364373255826354	0.0745862103009331	-0.17156491437890775
d_Chol	-0.1200837072279781	0.023468117488709615	0.027985392444673907	1.0	-0.13868355326240084	-0.1895481860683826	-0.023701173641488563	0.22029931875724074	0.09585282980210538	0.054791804275924165	0.20339799413226953	-0.002971677834623123	0.11320079094117964	0.20107449652125436	0.04209908735236566	0.1381642951205838	-0.08926902719204145	-0.06096754228383819	-0.17287514363902945
s_Chol	0.19235039551121647	0.04475184563767584	0.13487055911491685	-0.13868355326240084	1.0	0.13428970906343504	0.0818059268408983	-0.15651277398729455	-0.059108227548685374	-0.04265655775000877	0.010985815557879891	0.07147004390967045	0.12431906888890362	0.03175361696243716	0.009060066902277512	-0.086946921876253	0.239754119001303	0.25023671110592394	0.14675058693320364
d_PCN	0.39026947404150925	-0.11876051441683337	-0.15676471599213654	-0.1895481860683826	0.13428970906343504	0.9999999999999999	-0.3700871851048532	-0.2917093286168181	-0.07589438056709706	-0.725290649481303	-0.15120663138957735	-0.000889959038765202	-0.041509276632488074	-0.1498696228683729	-0.12297677691214534	-0.31438434896726886	0.121272009082763	0.03456717546619709	0.5397242198853066
s_PCN	0.2290726676808772	-0.30074573223471635	-0.06951186259376084	-0.023701173641488563	0.0818059268408983	-0.3700871851048532	0.9999999999999999	0.12880089010281812	0.024643227860939178	0.25567068942887144	-0.24794371589762781	-0.09807823520258489	0.23013522983109344	-0.004747890834483383	-0.12384464129030712	-0.21095734011428957	0.09688341047720998	0.20738498527302412	-0.06394139625679751
d_CG	0.06992474122194374	-0.08366058117253472	-0.042919014615410825	0.22029931875724074	-0.15651277398729455	-0.2917093286168181	0.12880089010281812	1.0	0.16310427580168457	-0.10472962754177874	-0.008545112939088849	-0.01045900849746001	-0.07215269607265498	0.08718482157136531	0.07657779104332915	0.05049316008477614	0.07305696409085635	0.00686138706326659	-0.06339463330606773
s_CG	0.0014146164450519888	-0.08405248473551453	-0.1514862514484843	0.09585282980210538	-0.059108227548685374	-0.07589438056709706	0.024643227860939178	0.16310427580168457	1.0	-0.052065149184445374	0.01753720406433903	0.13854855178464315	0.014512673974544699	0.16810594825865222	-0.03855555054427488	0.056428548216864605	-0.08149139557361881	-0.023616826282838087	0.07429262605104864
dD_C	-0.33829641006321826	0.2389225080684093	0.23357284529823924	0.054791804275924165	-0.04265655775000877	-0.725290649481303	0.25567068942887144	-0.10472962754177874	-0.052065149184445374	0.9999999999999998	-0.024234652509062433	0.10058444822147766	0.0007810189628408883	-0.013149823131226902	-0.4372103361219274	0.43362193994463744	0.13379002574214738	0.2788323370810532	-0.2532078513883071
r_D_C	-0.04652055306788025	0.07363100867175354	0.07535359194809899	0.20339799413226953	0.010985815557879891	-0.15120663138957735	-0.24794371589762781	-0.008545112939088849	0.01753720406433903	-0.024234652509062433	1.0	0.06468173933210589	0.2551422717340982	0.11956669908566245	0.2243421617163627	-0.06762129135988242	-0.06745163026299204	0.03936809901285845	-0.4400138551275139
s_CH2	0.10292452280099129	0.09131092652747762	-0.023729027030275032	-0.002971677834623123	0.07147004390967045	-0.000889959038765202	-0.09807823520258489	-0.01045900849746001	0.13854855178464315	0.10058444822147766	0.06468173933210589	1.0	0.04120053772107434	0.13049244963167317	-0.14291489273971017	-0.05156668997066814	0.19756869176892017	0.2781285579939673	0.06305892037048248
s_CH3	0.23983409896396107	-0.04835701157432498	-0.026979753809237762	0.11320079094117964	0.12431906888890362	-0.041509276632488074	0.23013522983109344	-0.07215269607265498	0.014512673974544699	0.0007810189628408883	0.2551422717340982	0.04120053772107434	1.0	-0.0460140676375581	0.06388211935249297	-0.03789734608080972	0.20312275353187725	0.24631203741494362	-0.12018691474652797
r_PCN	0.11806788030576512	-0.1892814234590382	0.024225741729336538	0.20107449652125436	0.03175361696243716	-0.1498696228683729	-0.004747890834483383	0.08718482157136531	0.16810594825865222	-0.013149823131226902	0.11956669908566245	0.13049244963167317	-0.0460140676375581	1.0	0.04978126913965676	-0.016921698572136004	-0.004891575354085756	0.178144342524531	-0.12698596848488405
r_CG	0.0022702877142046288	-0.06658837419998102	-0.12216038589134784	0.04209908735236566	0.009060066902277512	-0.12297677691214534	-0.12384464129030712	0.07657779104332915	-0.03855555054427488	-0.4372103361219274	0.2243421617163627	-0.14291489273971017	0.06388211935249297	0.04978126913965676	1.0	0.006412672065222912	-0.13320754889765496	-0.36383036153246956	-0.2446728694136327
r32	-0.44854762548648847	0.1766395843799965	0.01037434265495997	0.1381642951205838	-0.086946921876253	-0.31438434896726886	-0.21095734011428957	0.05049316008477614	0.056428548216864605	0.43362193994463744	-0.06762129135988242	-0.05156668997066814	-0.03789734608080972	-0.016921698572136004	0.006412672065222912	0.9999999999999998	-0.0485473587591997	-0.18440566022436305	0.08962535132065513
V_H	0.69948625487265	-0.019114182164565827	0.04364373255826354	-0.08926902719204145	0.239754119001303	0.121272009082763	0.09688341047720998	0.07305696409085635	-0.08149139557361881	0.13379002574214738	-0.06745163026299204	0.19756869176892017	0.20312275353187725	-0.004891575354085756	-0.13320754889765496	-0.0485473587591997	1.0	0.9052970229535194	0.2561453798100801
V_BW	0.6512158577710829	-0.025789164307568512	0.0745862103009331	-0.06096754228383819	0.25023671110592394	0.03456717546619709	0.20738498527302412	0.00686138706326659	-0.023616826282838087	0.2788323370810532	0.03936809901285845	0.2781285579939673	0.24631203741494362	0.178144342524531	-0.36383036153246956	-0.18440566022436305	0.9052970229535194	0.9999999999999998	0.1565913756231654
Con	0.22256858822609615	-0.007325560118034619	-0.17156491437890775	-0.17287514363902945	0.14675058693320364	0.5397242198853066	-0.06394139625679751	-0.06339463330606773	0.07429262605104864	-0.2532078513883071	-0.4400138551275139	0.06305892037048248	-0.12018691474652797	-0.12698596848488405	-0.2446728694136327	0.08962535132065513	0.2561453798100801	0.1565913756231654	1.0
