# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	T	V_H	V_BW	Con	X2
0	2e-07	1.3628061312581157	495.45453114908526	15.099032376109596	1.0524497577194578	2.862044211738672	4.274329237402295	2.7387297984312995	0.7634843568736479	2.376926026136572	24.069771367620636	0.028718214849543653	2.3913206852690574	1.812729187586813	0.28409310918176406	0.4293752911266566	1.9349029831173556	50.0	320.96679746918977	30.334752624090303	0.0022724318527145844	19.143589359191882
1	2e-07	1.4402306961413909	498.3217907224882	13.920552103946207	1.063066557442957	2.9888332450505373	3.810576935557799	2.84325786573435	0.8782263760003068	2.3155423516820988	24.272865230635524	0.030898014609300715	2.502848337940889	1.963367079672312	0.2891081333029568	0.44604387234085957	1.9270923720972928	50.0	331.1752432218597	30.472338339915844	0.002247094493751604	18.640673699351765
2	2e-07	1.3918670197791339	496.7772289885987	11.696212357989651	1.065035690012862	2.91398223575373	4.044799195182495	2.768445178438304	0.914549452495661	2.4256783140641587	24.292127453353796	0.033984437962306935	2.3541865900542147	1.977773024452375	0.28649497243468625	0.4237503867315215	1.979660437228793	50.0	329.5128387464204	30.48225094798976	0.002245547884112709	20.004528320937403
3	2e-07	1.3245543128523822	499.79986940037065	11.17957980124262	0.9258561394468188	3.08501083133996	4.21821724470492	2.8840362856815096	0.6923102449048268	2.3473744471306985	24.290243946165972	0.032445205141486376	2.5413039724535595	2.0245692164869777	0.28154023737758066	0.4188629271235051	1.9003475912526386	50.0	318.2358797922888	30.411430936234186	0.002275118675910348	18.80915900414642
4	2e-07	1.2093601814949666	495.7975690834639	10.356551940047488	0.9714649989353197	2.975185114954855	4.263030369249265	2.7653062037717	0.756979762137892	2.4309782918874507	24.260865866128533	0.026984699420643275	2.455134023829395	2.0967424682700218	0.28319231590022914	0.4184794992086298	2.0623585841738272	50.0	312.97364454648636	30.242880566898418	0.0022596535230213185	20.368116947582866
5	2e-07	1.5356498016734883	487.17466284992	12.671784945575888	1.0162346173686678	2.9966750648864733	3.749440879629164	2.961540142743256	0.8186737649259941	2.3384477709106197	24.384219414182972	0.03225030470217897	2.422310288991047	2.0513791647529733	0.30744992421261497	0.4413302812027033	1.9224343811016358	50.0	332.3659573083146	30.63039940415466	0.0023000107278534016	19.59835673025395
6	2e-07	1.330602011468462	499.17590761419865	11.308764957102964	1.0501982304019737	2.9413923343169093	4.448613182785151	2.733390846095269	0.8724831851305092	2.33209870845212	23.024941577707292	0.03441148159159658	2.44091215966062	2.0716989047870893	0.2807368667147659	0.4559360647387673	1.9375791727233798	50.0	313.61539245229727	30.212962368755814	0.002257265978452934	19.27167576122956
7	2e-07	1.2314906835532107	492.72228434040505	10.839961113783833	0.9982261273409533	2.937051161903114	4.327352904368935	2.730495389628912	0.8641935543746837	2.29329349377695	23.868210582167332	0.031261531787551235	2.448355867044995	1.9527553053558333	0.29338124883394445	0.42270543891931384	2.004925403549288	50.0	309.8822223437677	30.2379300610988	0.0023286922417549666	19.77542132594968
8	2e-07	1.2518211340983019	475.60314348080993	11.007057948002938	0.9757877055901448	3.073887786616622	4.094801495646919	2.8150130051691757	0.8082820339435848	2.4767633972542384	23.927991888966805	0.025953762860777656	2.5375189542706087	2.0251726148591582	0.2953704355340585	0.43056023850794656	1.9903117603244365	50.0	299.3002788393791	30.118187024285582	0.002256296181780324	21.717054525671394
9	2e-07	1.3785793371426212	484.6663821207744	11.844067734205815	0.9849006879128193	2.943380845402527	3.9445880075696045	2.7418671938604033	0.878972336294784	2.341640923055399	24.151814485160994	0.03351397319323563	2.5090764242388324	1.9136366303114052	0.2988631803826883	0.4410499674773852	2.0006664785931023	50.0	322.77721331078334	30.384150691876705	0.0022400944609694937	21.134298879558123
10	2e-07	1.2233084418939422	495.90875425943995	9.4206365673558	1.0148896705917316	2.90035935430222	4.0828333821137335	2.787625141197167	0.7855973090447677	2.395048784791157	23.948109524194425	0.030614160210642852	2.491345725132759	1.8787419318074643	0.2901972634680788	0.44347370887442666	1.9694045076820252	50.0	311.2189632117516	30.21978296802886	0.00228233160713557	20.707682626481326
