# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Table of results (median and MAD) along with parameter initialization.
# * Calculated values
# X^2 from median values: 33.81257926297882
# -----------------------------------
name	value	free	prior	low_l	high_l	median	MAD
Norm	2e-07	False	-	1e-08	1.0	2e-07	0.0
nv	1.0	True	-	0.1	5.0	1.3363295495492826	0.0814228794806432
Rv	450.0	True	-	300.0	500.0	494.7947715202903	4.5183144581555155
Z	10.0	True	-	5.1	18.0	10.54668082414874	1.4829249992536768
d_Chol	1.0	True	0.03	0.85	1.15	0.9958376898600984	0.02908598709138971
s_Chol	3.0	True	0.02	2.7	3.3000000000000003	2.999506451508477	0.06347090215136175
d_PCN	4.0	True	0.08	2.4	5.6	4.081439195036329	0.16177175801988541
s_PCN	2.8	True	0.02	2.52	3.08	2.8102462508873467	0.04600181535580017
d_CG	0.8	True	0.08	0.48	1.1199999999999999	0.8153977149276058	0.056669929644846795
s_CG	2.4	True	0.02	2.16	2.64	2.3800451867018575	0.045105961082116064
dD_C	24.8	True	0.03	21.08	28.52	24.135664770598076	0.25464161813071584
r_D_C	0.079	True	-	0.0	0.08	0.031351386539817075	0.002550428514903804
s_CH2	2.45	True	0.02	2.205	2.6950000000000003	2.464125147311335	0.04217093516598247
s_CH3	1.93	True	0.05	1.4475	2.4125	1.9446699413258393	0.06337352518357298
r_PCN	0.29	True	0.02	0.261	0.319	0.28897587296722416	0.005814432845858086
r_CG	0.43	True	0.02	0.387	0.47300000000000003	0.4338006764802583	0.00924837103979298
r32	1.93	True	0.02	1.7369999999999999	2.123	1.9452174906672544	0.037925231306298324
T	50.0	False	-	32.0	52.0	50.0	0.0
V_H	324.0	True	0.02	291.6	356.40000000000003	319.859754435182	6.302339716847968
V_BW	29.9	True	-	29.5	31.5	30.35893927178823	0.09096700972278349
Con	0.002	True	-	0.001	0.005	0.0022585770537000135	2.9784190933344152e-05
A_L*	-	-	-	-	-	65.86047998601552	0.6948563196375983
D_B*	-	-	-	-	-	33.80206157733294	0.35662625156658856
D_pp*	-	-	-	-	-	31.755666498056573	-
n_W*	-	-	-	-	-	7.645281005105135	-
