	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	V_H	V_BW	Con
nv	1.0	-0.9282334909326673	-0.3623462705406336	-0.016919208187740203	-0.17998639370659592	0.09069760754623239	-0.12705949574971512	0.015174009349766118	0.03863115889668283	-0.13728339589663577	0.2568245998836012	-0.048794163490045075	0.36459304143676	-0.06139901645633796	0.1495336367687616	0.008954114153280734	0.3663085777342847	-0.1177294769874889	-0.20357568963997683
Rv	-0.9282334909326673	1.0	0.4024716748942793	0.02617214033013079	0.27226644341336614	-0.006448054386819793	0.1572578815744547	0.0738841437442478	0.022865942129836336	-0.002075984216669574	-0.19742798468347225	-0.0005971729317244441	-0.3587397650108542	0.18527273295181534	-0.08436144369702604	-0.23716544228195885	-0.06055717818578195	0.08429526070000126	0.2715540029024343
Z	-0.3623462705406336	0.4024716748942793	0.9999999999999997	0.21546178344627584	0.24333248247569045	-0.28071199692589033	0.062068006608134677	0.07533323250769446	-0.060720488608355064	0.30784258139383225	0.10520663649821443	0.021929787357238613	-0.1991374008123791	-0.000128702351554598	-0.08315969507898624	0.07019892026002438	0.006540047940048473	-0.06726166465031641	0.05016157828955328
d_Chol	-0.016919208187740203	0.02617214033013079	0.21546178344627584	1.0	0.24552963918851906	-0.48742353186963877	0.1624866503025164	0.018986425159758347	-0.113360212229485	0.44308159914781403	-0.09491030432698531	-0.08119704690512147	0.11430494297682517	0.16981003084353222	-0.09388284253363108	0.10851239714719552	0.08908690479377411	0.17484598489021314	-0.22049000155864928
s_Chol	-0.17998639370659592	0.27226644341336614	0.24333248247569045	0.24552963918851906	1.0	0.1291536315455798	0.25456790072576163	0.18518555687912802	0.16488226461495026	-0.08453467193080591	0.0738029382291864	-0.13625727947489497	-0.19658243596011202	0.058331519733579675	-0.17402376422409183	-0.23308352421785203	0.26316100236063494	-0.07696107822592903	0.11173488006290315
d_PCN	0.09069760754623239	-0.006448054386819793	-0.28071199692589033	-0.48742353186963877	0.1291536315455798	1.0	-0.05532736464467015	-0.14373440857401265	0.24556110801232303	-0.7775075910514575	0.11768526772495269	-0.05585845476680068	0.020342598138192867	-0.1616802745180077	-0.11504783541103852	-0.19247097301004223	0.10745106680867546	-0.2112725555398952	0.5052040544502067
s_PCN	-0.12705949574971512	0.1572578815744547	0.062068006608134677	0.1624866503025164	0.25456790072576163	-0.05532736464467015	1.0	0.17749566570633774	0.25207386503125523	0.06132089281670529	-0.03724593249090474	-0.03317258533450782	-0.1963131440493256	-0.04065793888730222	-0.16136997663781225	-0.08528268672038403	0.07895758417623058	-0.09047435874731485	0.0630038881498228
d_CG	0.015174009349766118	0.0738841437442478	0.07533323250769446	0.018986425159758347	0.18518555687912802	-0.14373440857401265	0.17749566570633774	1.0	0.3487009706406865	-0.26000261805064817	0.10851728565704459	-0.26184132357146217	0.041216516323480834	0.4722985861741135	0.11959568884630165	0.015744575274681295	0.15365294769127597	0.027210735833037316	0.2304401679984574
s_CG	0.03863115889668283	0.022865942129836336	-0.060720488608355064	-0.113360212229485	0.16488226461495026	0.24556110801232303	0.25207386503125523	0.3487009706406865	1.0	-0.30253068916175296	0.05921499693337642	0.043771723784420756	0.19277297214438716	0.016611928745661027	-0.13039683650572445	-0.01652646662007025	0.08090722251662329	-0.11922758391945416	0.15653495862744338
dD_C	-0.13728339589663577	-0.002075984216669574	0.30784258139383225	0.44308159914781403	-0.08453467193080591	-0.7775075910514575	0.06132089281670529	-0.26000261805064817	-0.30253068916175296	0.9999999999999999	-0.20127538208316204	0.20706384062587846	-0.20571482907289795	-0.15221592100296386	-0.39191529379978113	0.21515035688223513	-0.13138586038487007	0.3206045118519143	-0.5122901868015035
