name	value	free	prior	low_l	high_l	mean	stdev
Norm	1e-07	False	-	1e-08	1.0	1e-07	0.0
nv	1.0	True	-	0.1	2.5	0.9163710257833632	0.2019093065069335
Rv	450.0	True	0.1	225.0	675.0	452.847604077166	49.60709921292078
Z	10.0	True	-	5.1	18.0	8.968619256223715	2.3566199543472393
d_Chol	2.7	True	0.03	2.295	3.105	2.700263967003283	0.10676761215816366
s_Chol	3.0	True	0.02	2.7	3.3000000000000003	2.9830507629295298	0.08511450857092695
d_PCN	4.3	True	0.08	2.5799999999999996	6.02	4.071137175704157	0.32934692660575693
s_PCN	2.5	True	0.02	2.25	2.75	2.49733725116267	0.05120040738208436
d_CG	0.8	True	0.08	0.48	1.1199999999999999	0.8525009693353715	0.07679293309820001
s_CG	2.5	True	0.02	2.25	2.75	2.4537477937707415	0.06730314090307195
dD_C	28.4	True	0.03	24.139999999999997	32.66	28.173200795584677	0.5561848856716728
r_D_C	0.079	True	0.06	0.055299999999999995	0.1027	0.07956835091142532	0.0021150389332234027
s_CH2	2.5	True	0.02	2.25	2.75	2.522907974557613	0.05891180427606424
d_CH	9.0	False	-	8.0	10.0	9.0	0.0
s_CH	3.05	False	0.02	2.745	3.355	3.05	0.0
s_CH3	3.4	True	0.05	2.55	4.25	3.4450474967852114	0.2430181331702664
r_PCN	0.29	True	0.02	0.261	0.319	0.29035603724843007	0.009388227439656465
r_CG	0.45	True	0.02	0.405	0.49500000000000005	0.45274528029433825	0.011150090883317082
r12	0.81	False	-	0.73	0.89	0.8100000000000003	2.2473615295280866e-16
r32	2.09	True	0.02	1.881	2.299	2.076824432197587	0.05255968439729989
T	50.0	False	-	32.0	52.0	50.0	0.0
V_H	324.0	True	0.02	291.6	356.40000000000003	319.9481264966637	7.864353888704266
V_BW	29.9	True	-	28.0	32.0	30.372793421899196	0.051056444784671993
Con	0.0005	True	-	0.0003	0.0008	0.0005084746758610672	4.017557473739652e-05
A_L*	-	-	-	-	-	67.74855201953024	1.3374667980682247
D_B*	-	-	-	-	-	37.572684937475806	0.7417460170021863
D_pp*	-	-	-	-	-	36.9386458791559	-
n_W*	-	-	-	-	-	12.58355135076284	-
