# -----------------------------------
# SAS_MoCa Version 1.4.0
# Fri Apr 24 10:55:44 2026
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-Symmetry2021
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	400
temperature-gain:	50
target-X2:	0.005
data-binning:	1
error-scale:	1
iterations:	100
processes:	64
plot-only:	False
state:	0
# -----------------------------------
# Pearson correlation coefficient matrix,
# see scipy.stats.pearsonr() docs for details.
# -----------------------------------
	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	V_H	V_BW	Con
nv	0.9999999999999999	-0.9296747036571222	-0.07065382004028092	0.10543903596196479	-0.06984589286787479	0.05987433570758495	-0.007109376694838972	0.07186515746813033	-0.020839138197995974	0.043501127810106066	-0.0319116214564919	0.03863705609348212	0.14605752551997445	0.11904462463114768	-0.18954635822032995	0.11802003825161297	0.21936462002333257	0.13887143393286253	0.08495831666859971
Rv	-0.9296747036571222	1.0	0.20506770430488097	-0.047525859871192996	0.07308940222884681	0.08942588058256604	0.03125380835292481	-0.09592534692691465	-0.046554099686462014	-0.18241076911260354	0.054613781240489184	-0.0023612650798434717	-0.07661191650849696	-0.03436741179494721	0.2480877930531334	-0.19654731331235675	0.003969562383537378	-0.1443632613733887	0.05668499038841919
Z	-0.07065382004028092	0.20506770430488097	1.0	0.09705106296072694	0.11617738613387696	0.05615465473914144	0.14309367172747933	-0.017344532563449234	-0.15303730146251493	-0.11449958046608488	-0.04648018679035672	0.10726770045931439	-0.004983937190299881	0.00419260635951986	0.18100146751044444	-0.09179103719128663	0.15061604299128784	0.00175591760696487	0.09492206328693409
d_Chol	0.10543903596196479	-0.047525859871192996	0.09705106296072694	1.0	0.07821510076842098	0.05527023230095225	-0.07823499159421121	-0.14721278914991212	-0.12694979514325352	0.0894359240573423	0.26122946320665613	0.010791588344951877	-0.05634527586572664	-0.0827641000654532	-0.1180800964902879	-0.0734699207144836	0.16367997637129247	-0.22833218381392625	-0.09570606462781057
s_Chol	-0.06984589286787479	0.07308940222884681	0.11617738613387696	0.07821510076842098	1.0	-0.008757066616396803	0.03465626740472093	-0.1769322719191227	-0.12377857753632629	-0.02132389909386276	0.015016358272933218	-0.007384982453797696	0.07684283850593136	-0.0736027583360829	0.13137631841438696	-0.059377355485739074	-0.06834765756952155	-0.15583397676023802	-0.03107582118195998
d_PCN	0.05987433570758495	0.08942588058256604	0.05615465473914144	0.05527023230095225	-0.008757066616396803	1.0	-0.16068469162179183	-0.18241439200971585	-0.1450077266443206	-0.804537190922944	0.04367546953518915	-0.1244243885161905	0.16376197269383957	0.16459146992205947	-0.07228861908133567	-0.26952034718270346	-0.002861298901238915	-0.10348488233165884	0.5573659686199524
s_PCN	-0.007109376694838972	0.03125380835292481	0.14309367172747933	-0.07823499159421121	0.03465626740472093	-0.16068469162179183	1.0	0.16327318757641107	-0.08433200062904452	0.11907645209616036	-0.12810104961493385	0.0627260540466397	-0.03942636382300192	-0.12625898670786537	-0.07586172879126009	-0.04749642679421237	0.06185546876679902	0.009382469837337341	0.19827955607513795
d_CG	0.07186515746813033	-0.09592534692691465	-0.017344532563449234	-0.14721278914991212	-0.1769322719191227	-0.18241439200971585	0.16327318757641107	1.0	0.1704190059565575	-0.16005159268842292	-0.04188149075894612	-0.20795313895380743	-0.028115217931180617	0.043086753299153895	0.06389930587956849	0.07627168026993209	-0.025633909589677692	0.11117022357125474	0.0720320019812478
s_CG	-0.020839138197995974	-0.046554099686462014	-0.15303730146251493	-0.12694979514325352	-0.12377857753632629	-0.1450077266443206	-0.08433200062904452	0.1704190059565575	1.0	0.11344575923399473	-0.013081707714336747	0.24446909980282827	-0.06904633508819205	-0.04723378892923999	-0.1793038908286443	0.05529089923724545	-0.18197794362350345	0.07480307211427213	-0.10137377188707708
dD_C	0.043501127810106066	-0.18241076911260354	-0.11449958046608488	0.0894359240573423	-0.02132389909386276	-0.804537190922944	0.11907645209616036	-0.16005159268842292	0.11344575923399473	0.9999999999999999	0.022983183111925907	0.12369888031648141	-0.15360521682437378	-0.28346410769021585	-0.3767742395837223	0.3549500994788223	0.11247609020588642	0.12479615779290454	-0.5059565563465446
