# -----------------------------------
# SAS_MoCa Version 1.4.0
# Fri Apr 24 10:55:44 2026
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-Symmetry2021
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	400
temperature-gain:	50
target-X2:	0.005
data-binning:	1
error-scale:	1
iterations:	100
processes:	64
plot-only:	False
state:	0
# -----------------------------------
# Table of results (median and MAD) along with parameter initialization.
# * Calculated values
# X^2 from median values: 3.7208351630395815
# -----------------------------------
name	value	free	prior	low_l	high_l	median	MAD
Norm	1e-07	False	-	1e-08	1.0	1e-07	0.0
nv	1.0	True	-	0.1	2.5	0.9518717575874794	0.1394421466879363
Rv	450.0	True	0.1	225.0	675.0	443.52506006110207	32.546119109032844
Z	10.0	True	-	5.1	18.0	10.077447525774364	1.7163890823857368
d_Chol	2.7	True	0.03	2.295	3.105	2.6879044754204786	0.07664413082857369
s_Chol	3.0	True	0.02	2.7	3.3000000000000003	2.9849717543195986	0.05122222250679842
d_PCN	4.3	True	0.08	2.5799999999999996	6.02	4.098954378479027	0.16921242689164684
s_PCN	2.5	True	0.02	2.25	2.75	2.497136674565719	0.04938962439001693
d_CG	0.8	True	0.08	0.48	1.1199999999999999	0.8368388598085994	0.05036844663984824
s_CG	2.5	True	0.02	2.25	2.75	2.464104642861078	0.04113361886041611
dD_C	28.4	True	0.03	24.139999999999997	32.66	28.195925694826528	0.3593631798654364
r_D_C	0.079	True	0.06	0.055299999999999995	0.1027	0.07759273260153118	0.001680488916737638
s_CH2	2.5	True	0.02	2.25	2.75	2.533767578347402	0.03801997840390081
d_CH	9.0	False	-	8.0	10.0	9.0	0.0
s_CH	3.05	False	0.02	2.745	3.355	3.05	0.0
s_CH3	3.4	True	0.05	2.55	4.25	3.4425845937903405	0.1136972956866713
r_PCN	0.29	True	0.02	0.261	0.319	0.2902559305320572	0.006146930768395342
r_CG	0.45	True	0.02	0.405	0.49500000000000005	0.45317521892520574	0.007234125132452612
r12	0.81	False	-	0.73	0.89	0.81	0.0
r32	2.09	True	0.02	1.881	2.299	2.059150768660995	0.028207283833428853
T	50.0	False	-	32.0	52.0	50.0	0.0
V_H	324.0	True	0.02	291.6	356.40000000000003	321.77758314008963	5.5917066194943175
V_BW	29.9	True	-	28.5	31.5	30.39831752890337	0.03352922295084859
Con	0.0005	True	-	0.0003	0.0007	0.0005101859615898711	2.4076616682618427e-05
A_L*	-	-	-	-	-	67.57137937781586	0.861211865285953
D_B*	-	-	-	-	-	37.67149677035762	0.48013138551326867
D_pp*	-	-	-	-	-	36.99157219450239	-
n_W*	-	-	-	-	-	12.433594228238917	-
