# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:03:55 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-example
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	500
target-X2:	1
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Pearson correlation coefficient matrix,
# see scipy.stats.pearsonr() docs for details.
# -----------------------------------
	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	V_H	V_BW	Con
nv	1.0	-0.9176015145858102	-0.09451804817565825	0.15176625469070432	0.016193968578159	0.05893961759389027	0.0550125559881885	0.013845283701523443	0.16270952641475758	-0.10729931894007556	0.027848930092715656	0.15402841799971806	-0.038048971444294796	0.007324020188903546	0.01054076078331953	-0.26316223063470423	0.15535134921939447	-0.10370516240427552	0.13084950017461677
Rv	-0.9176015145858102	1.0	0.19841185406539943	-0.16994848848615735	0.012713771865392895	0.042190721172104026	-0.08337182442964058	0.008776816004336142	-0.09261557339621614	-0.03707120609843755	-0.0036730369660205146	-0.16192865661612177	0.04510597524356527	0.047709758215200695	0.051792149355541134	0.0737333971568431	0.14963186488951624	0.09090437019895516	-0.07456631622445416
Z	-0.09451804817565825	0.19841185406539943	0.9999999999999999	-0.10344290817780628	0.12081671022715555	-0.012312922880912368	-0.12034031596179177	0.33985869265549573	0.028647705424888995	-0.0594659017125071	0.1335909316819722	-0.06256190442155397	-0.266884189353106	-0.0058516223464504385	0.0544628888648995	0.0539069779382703	0.0947165883202163	0.0022073755047270563	-0.08512577582151418
d_Chol	0.15176625469070432	-0.16994848848615735	-0.10344290817780628	1.0	-0.11726467551458827	0.15014458757154958	-0.06759886744190452	-0.174050668788006	0.1436899442935818	-0.08139332228035662	-0.06159351705072477	0.04522734294391201	0.15513129454445326	0.047136809953068376	-0.03415579999237927	0.1109864968572288	-0.09667653697242319	-0.03258100260228346	0.1433995399030479
s_Chol	0.016193968578159	0.012713771865392895	0.12081671022715555	-0.11726467551458827	1.0	0.032505168179995256	0.11546962278350255	0.2510003074550323	-0.059643525869382756	0.0824930665638704	-0.05294997111759492	-0.06894369852567658	0.04262577483657897	0.02100237825883086	-0.1448594135699371	0.017761341941088662	0.2063757638176621	0.1657896586633572	0.007510722704153934
d_PCN	0.05893961759389027	0.042190721172104026	-0.012312922880912368	0.15014458757154958	0.032505168179995256	1.0	-0.09157374368224105	-0.023582162249916903	-0.16235195232858488	-0.505307016009509	0.036751278223167566	-0.21189813243445718	0.18345503554547613	-0.11247562165436789	-0.14661824848479996	-0.07192789355701798	0.22042675995121233	-0.03177533270083975	0.5578262136382102
s_PCN	0.0550125559881885	-0.08337182442964058	-0.12034031596179177	-0.06759886744190452	0.11546962278350255	-0.09157374368224105	1.0	0.11340633817571966	-0.1344291032310944	0.6673248493614901	-0.4358787135317751	-0.14899619458838054	-0.1379314105376146	-0.3154112902766696	-0.6710579354755428	-0.42951303704379284	0.053288720908777475	0.231007980218884	0.2498533995036923
d_CG	0.013845283701523443	0.008776816004336142	0.33985869265549573	-0.174050668788006	0.2510003074550323	-0.023582162249916903	0.11340633817571966	1.0	-0.05674854127955148	-0.004142696539060034	0.035597526153384455	-0.029643732889101562	-0.1875758142595062	-0.09943357550790857	-0.1320692241157951	0.059592627020110124	0.013336346692750078	0.07720635051062368	0.01605071340946678
s_CG	0.16270952641475758	-0.09261557339621614	0.028647705424888995	0.1436899442935818	-0.059643525869382756	-0.16235195232858488	-0.1344291032310944	-0.05674854127955148	0.9999999999999999	-0.23435047350009097	-0.13522072360711102	0.15609413241300713	0.12940347128727314	0.1547746842609987	0.13384322321052122	-0.21843148931848155	-0.09281713497999301	0.0058588890252613685	0.11087987635237417
dD_C	-0.10729931894007556	-0.03707120609843755	-0.0594659017125071	-0.08139332228035662	0.0824930665638704	-0.505307016009509	0.6673248493614901	-0.004142696539060034	-0.23435047350009097	1.0	-0.3106129075871675	0.03222128717872631	-0.2955085148697454	0.007826358052026791	-0.6610635949292007	0.0623457299397341	-0.09283795518028493	0.47112619287748136	-0.20203709281355903
