# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:03:55 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-example
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	500
target-X2:	1
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Table of results (median and MAD) along with parameter initialization.
# * Calculated values
# X^2 from median values: 15.92072797976766
# -----------------------------------
name	value	free	prior	low_l	high_l	median	MAD
Norm	1e-07	False	-	1e-08	1.0	1e-07	0.0
nv	1.0	True	-	0.1	2.5	0.9340289947433299	0.15073160960443022
Rv	450.0	True	0.1	225.0	675.0	451.4806844444911	35.275580159146955
Z	10.0	True	-	5.1	18.0	9.825575647072752	1.4898306038487945
d_Chol	4.3	True	0.03	3.655	4.944999999999999	4.272097095246257	0.1203085383180067
s_Chol	3.0	True	0.02	2.7	3.3000000000000003	2.9900094660412995	0.057007380048982315
d_PCN	4.3	True	0.08	2.5799999999999996	6.02	4.263939111890485	0.19710268205356485
s_PCN	2.5	True	0.2	0.0	5.0	2.6574223578579654	0.22846911306389228
d_CG	0.8	True	0.08	0.48	1.1199999999999999	0.7993443338713576	0.047741056220839684
s_CG	2.5	True	0.2	0.0	5.0	2.1546960704603864	0.23810287916598183
dD_C	28.4	True	0.03	24.139999999999997	32.66	28.203852859207906	0.5243062102144567
r_D_C	0.079	True	0.06	0.055299999999999995	0.1027	0.07646179575382386	0.002260728026987145
s_CH2	2.48	True	0.05	1.8599999999999999	3.1	2.4895058315271976	0.09941018826203973
d_CH	9.0	False	-	8.0	10.0	9.0	0.0
s_CH	3.05	False	0.02	2.745	3.355	3.05	0.0
s_CH3	3.4	True	0.05	2.55	4.25	3.379927523742329	0.14614204528775088
r_PCN	0.3	True	0.05	0.22499999999999998	0.375	0.30788716087391665	0.011361896104395808
r_CG	0.41	True	0.05	0.3075	0.5125	0.4362032573370006	0.01710332648449367
r12	0.8	False	0.05	0.6000000000000001	1.0	0.8	0.0
r32	1.93	True	0.05	1.4475	2.4125	1.9167823758236637	0.05380951372515874
T	50.0	False	-	32.0	52.0	50.0	0.0
V_H	324.0	True	0.02	291.6	356.40000000000003	321.92013682217544	5.121702670606965
V_BW	29.9	True	0.06	20.929999999999996	38.87	30.423895880397005	0.0347206085101508
Con	0.0005	True	-	0.0003	0.0007	0.0005051795404263611	2.0811708835262812e-05
A_L*	-	-	-	-	-	67.5427839432916	1.2556121765852821
D_B*	-	-	-	-	-	37.687445666100984	0.7006050523840238
D_pp*	-	-	-	-	-	36.602782595710764	-
n_W*	-	-	-	-	-	16.68086085011368	-
