# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Pearson correlation coefficient matrix,
# see scipy.stats.pearsonr() docs for details.
# -----------------------------------
	nv	Rv	Z	d_ENX	s_ENX	d_P	s_P	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH3	r_P	r_CG	r12	r32	V_H	V_BW	Con
nv	0.9999999999999999	-0.7694722880014164	-0.3310528251665267	0.024362865419303464	-0.21388316003595884	0.01973465750380447	0.039001872630893275	0.08583068530316125	0.051498124190048206	-0.2715061101397627	0.1382053603015062	-0.03074356693251143	-0.07836836243558797	0.04887131099977271	-0.018918724585524356	0.21104132250991808	-0.15413544878869034	-0.33590152343412516	0.44856290188734377	-0.1379147594466099	0.18033024129110858
Rv	-0.7694722880014164	1.0	0.4564896579177851	-0.024605305855990755	0.2335820539436555	-0.058223023404876104	0.049724030486222384	-0.10340846148862468	0.1959676887711857	0.10008957141989006	-0.09483203285095629	0.09244730822126826	0.04481940901388071	-0.021611727111550322	0.029757824872769772	-0.09616461831903325	0.21551110374537513	-0.06524754307512219	0.08212231646598195	-0.007546010867369765	-0.0169646259873584
Z	-0.3310528251665267	0.4564896579177851	1.0	0.02070016849083991	0.06687836576442191	-0.27626507011519896	0.18501940563743935	-0.030238893663698155	0.11960343317039945	0.2648061817782255	0.029071088256176797	0.058111985890791654	0.05362614888169577	0.044038448892904376	0.06840193184503915	-0.1599787826439824	0.17207564651674737	-0.03408148756065143	-0.06328594100409556	0.0770148738884791	-0.05997945661302026
d_ENX	0.024362865419303464	-0.024605305855990755	0.02070016849083991	1.0	0.05994048172824537	0.04795985290188559	-0.14092590301967103	0.048815001209636014	0.05706710914528278	-0.061056621613182566	0.10232240044038554	-0.15397015681455373	0.05585600467703982	0.06641979914458455	-0.08309261520236824	0.015459113408087477	0.17949597883213553	0.14694740913468896	0.05362515273048124	0.003482217477325583	-0.1114535506225258
s_ENX	-0.21388316003595884	0.2335820539436555	0.06687836576442191	0.05994048172824537	1.0	0.1521711584975758	-0.38719342019814196	0.023045842551518037	-0.07671064263004898	-0.10352718866221697	0.027103931228891848	-0.05978920928221981	-0.12002523504012698	-0.06413199297417405	-0.08290709473473837	0.10190422303902608	-0.06070372124443729	0.09382885257751353	0.06177157984591092	-0.19008230894563566	-0.3740878990494514
d_P	0.01973465750380447	-0.058223023404876104	-0.27626507011519896	0.04795985290188559	0.1521711584975758	0.9999999999999999	-0.35563353304614287	0.1261954590081755	-0.26988669569267004	-0.5087533223073045	0.018898938592342776	-0.05391334478351511	-0.1605844145129744	0.11871986380376538	-0.0449374754315986	-0.11638122852160182	0.015603527572978643	0.18921345066690706	-0.03273022865974409	0.004743726784773458	0.05482079080126967
s_P	0.039001872630893275	0.049724030486222384	0.18501940563743935	-0.14092590301967103	-0.38719342019814196	-0.35563353304614287	1.0	0.05577295239431275	0.17151087618226257	0.6439252448341409	-0.11478697718579887	0.023348883693634442	-0.010293649631875202	-0.10008552322107393	-0.24821389154815732	-0.6543815517848935	-0.056978408595331625	-0.4373243758415056	-0.01830665711158325	0.6755513303410517	0.5270798498826482
d_CG	0.08583068530316125	-0.10340846148862468	-0.030238893663698155	0.048815001209636014	0.023045842551518037	0.1261954590081755	0.05577295239431275	1.0	-0.026663936133722997	-0.1972194420156294	0.07249345727084253	-0.23089757545503642	0.0034523424458053203	0.102845168107445	0.09203000142405618	-0.19674114168905354	-0.07361790233013693	0.11151431489303865	-0.042324034995334874	0.019043436064131815	0.01412951137379645
s_CG	0.051498124190048206	0.1959676887711857	0.11960343317039945	0.05706710914528278	-0.07671064263004898	-0.26988669569267004	0.17151087618226257	-0.026663936133722997	0.9999999999999999	0.07972447520482354	-0.1414955224327012	0.06931684753413248	0.20476333994174453	0.11198727489883477	-0.060604902011844874	-0.12634006292029584	0.19584134454421093	-0.3127830781119727	0.10289872060253327	0.25210065348438726	0.1307938601690198
dD_C	-0.2715061101397627	0.10008957141989006	0.2648061817782255	-0.061056621613182566	-0.10352718866221697	-0.5087533223073045	0.6439252448341409	-0.1972194420156294	0.07972447520482354	1.0	-0.14186240692534136	0.1750117651461418	0.13652377785911474	-0.03930759813112779	-0.19222749298183645	-0.6758632436020808	0.048765555846479486	0.09943565863973415	-0.07336016372460429	0.5973678494045833	0.07342572690426774
