# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_ENX	s_ENX	d_P	s_P	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_P	r_CG	r12	r32	T	V_H	V_BW	Con	X2
0	1e-07	4.69834786349618	342.4606738835361	19.00923703765407	3.611950297466204	4.1470682933055585	3.272009417086624	2.719846964264476	1.001984978350536	1.57351430862019	30.0020241499094	0.03261246851240407	2.4738210217572747	9.426976485524081	2.8	2.7471657607165905	0.1477532166510145	0.5789572165063241	0.8125410699255043	1.9269027714628846	50.0	241.4635064668419	30.20354143752387	0.0017107797052088541	18.873881908734123
1	1e-07	5.322579188904687	315.96987226196916	19.499368343978315	3.4234689765731265	2.422555944221191	3.17781742510282	3.0691953763454416	0.9294610216449523	2.2590000869960405	31.430586335695576	0.03572956763698813	2.675940066968804	9.262720257066952	2.8	3.0068900912513414	0.1225761432721734	0.5314152067935228	0.7812875772956461	2.0525136404094724	50.0	246.76412268977575	30.449086819029695	0.0017962821193740182	21.36400372548039
2	1e-07	4.673914557470684	349.80963803370366	17.6913332298876	3.386440461949829	3.5251786325426155	3.28531445668497	3.035632451660573	0.9580616957100375	1.8856518362875916	30.933119479219343	0.033103800704140554	2.5823297422522007	9.215601652661158	2.8	2.669071183811435	0.13848019088334676	0.5445641557694187	0.7645615358992807	1.9758896277408953	50.0	254.20077885453355	30.267203205567558	0.0018545030087033078	19.470934679503184
3	1e-07	4.831007859545227	320.7273992228622	12.907011095429445	3.1296668058756736	2.5334605618532704	2.7815246748643117	2.682516683797008	0.9645883899374101	2.1458475870859375	31.00512225241594	0.0323888717855284	2.6171775256890486	9.158651214382125	2.8	2.855688861743641	0.15011932667032676	0.578656583947299	0.784851738207385	2.115057029449128	50.0	243.91486418394842	30.183314277681347	0.0017745869123472553	20.394744496199042
4	1e-07	4.931656254454515	355.2216090030538	26.330551832931892	3.5614672691493845	3.469920593530668	3.1239032382647562	2.557482196063021	1.090018862843635	2.6975624365284587	29.801563798454925	0.0342067568336319	2.5308888670491965	9.640148045574337	2.8	3.063686013056747	0.14526746640897187	0.5850160059021545	0.7923954823697373	1.9340885392862792	50.0	253.3123397731226	30.19156513713383	0.0018337263739879811	18.428653742870736
5	1e-07	5.051844254102239	346.97992427079157	18.512888012661847	3.4348128639327746	3.5755325518061043	3.2183562939635886	2.697803437328436	0.8153211018793861	2.2968448725301784	30.582320046648256	0.03753558242350564	2.7570074610166886	8.670153717980108	2.8	2.7313825781391534	0.14113285984985185	0.576275879696344	0.8625139180315182	1.9769131186597764	50.0	257.86346261022186	30.20058312828521	0.0018171164031548744	21.773401624646787
6	1e-07	4.960338377570782	323.46437031420504	18.287261295299746	3.3692615053282653	1.884946051083443	3.0233174236322973	3.0174415591194896	0.8992959561140783	2.0217991079430426	31.079847651635223	0.0328205799655523	2.868287150644235	9.838418972693177	2.8	2.561872104500769	0.14748281669376126	0.5503610132825201	0.8535455896103848	2.003814532438155	50.0	240.6689587271567	30.266103543054108	0.0019004711804590005	18.189809773161947
7	1e-07	4.243187102245779	350.2403889619648	18.22643433407492	3.6603141070133574	3.793092047649151	2.7263569287523493	2.4303659806275326	0.8793100126732081	2.4420312186688773	31.15451728288104	0.030133874058851227	2.8485888895805913	9.963812446073172	2.8	2.9103753818061144	0.1367895216919081	0.5839262168361768	0.8573788768897821	2.0995434623530063	50.0	245.865182378257	30.224836039447112	0.0015947558526052054	21.7066632386629
8	1e-07	4.57165313446774	322.6977430377736	14.623264407093933	3.509271611302857	3.5241572862438186	3.06037313701205	2.9151643952384623	0.7617501817816533	1.829909764150831	31.599733364964063	0.035645037205835194	2.6612299512837363	9.259526481529772	2.8	2.868151650025555	0.14414680896123958	0.5416360902515789	0.7807559854241405	2.0958125883186076	50.0	237.70090725083548	30.282058761992737	0.00177772899502812	20.473656450171294
9	1e-07	4.950254916666996	342.48487297173597	12.146766594472826	3.366023182732945	2.6504768134490284	2.977718400573326	2.6511104789023294	0.8680380406549791	2.3474311002216206	29.597650695156826	0.03339778252229794	2.708811866311579	9.670171231020605	2.8	2.6921768542224114	0.1655321842243667	0.6217802611218392	0.761403408911354	1.8670374010779183	50.0	246.58752993300595	30.14500185663524	0.0018168123334738949	20.169499143939216
