# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Table of results (median and MAD) along with parameter initialization.
# * Calculated values
# X^2 from median values: 23.84155423641356
# -----------------------------------
name	value	free	prior	low_l	high_l	median	MAD
Norm	1e-07	False	-	1e-08	1.0	1e-07	0.0
nv	5.0	True	-	0.1	10.0	5.071894476712515	0.33012269559531227
Rv	330.0	True	-	230.0	480.0	333.01659783339346	10.582148497395906
Z	20.0	True	-	8.0	40.0	20.558314667035646	4.336728442919153
d_ENX	3.4	True	0.03	2.8899999999999997	3.9099999999999997	3.4012550975516627	0.0936018018662701
s_ENX	2.8	True	0.2	0.0	5.6	3.3083400743409515	0.4569897799363649
d_P	3.1	True	0.08	1.8599999999999999	4.34	3.1456988566394695	0.18062535133521274
s_P	2.27	True	0.2	0.0	4.54	2.720694247220266	0.16529819028035098
d_CG	0.9	True	0.08	0.54	1.26	0.899162671888324	0.06027358661780624
s_CG	2.27	True	0.2	0.0	4.54	2.2196667520675724	0.211744543135439
dD_C	30.9	True	0.03	26.264999999999997	35.535	30.473752970016257	0.36843233951954346
r_D_C	0.04	True	0.06	0.027999999999999997	0.052000000000000005	0.034414817789792634	0.0012313796450158024
s_CH2	2.62	True	0.05	1.965	3.2750000000000004	2.6415411511192834	0.097030877424094
d_CH	9.43	True	0.02	8.487	10.373000000000001	9.466208973115588	0.14362846295158427
s_CH	2.8	False	-	1.5	4.0	2.8	0.0
s_CH3	2.81	True	0.05	2.1075	3.5125	2.8264937921545337	0.12700517380817078
r_P	0.14	True	0.05	0.10500000000000001	0.17500000000000002	0.14512845569563493	0.005463028366326103
r_CG	0.55	True	0.05	0.41250000000000003	0.6875	0.5767536958185715	0.01572004551415246
r12	0.8	True	0.05	0.6000000000000001	1.0	0.7933431732773479	0.03335282330248118
r32	1.95	True	0.05	1.4625	2.4375	1.9766868813830634	0.056583172907136325
T	50.0	False	-	32.0	60.0	50.0	0.0
V_H	247.0	True	0.02	222.3	271.70000000000005	246.26867296177403	4.271589489311708
V_BW	29.6	True	0.06	20.72	38.480000000000004	30.23056886808486	0.04155680122600636
Con	0.0015	True	-	0.001	0.0022	0.0017978572996981729	5.682102650513357e-05
A_L*	-	-	-	-	-	61.90659845950049	0.7484602544547885
D_B*	-	-	-	-	-	38.56794040399397	0.46629230497060914
D_pp*	-	-	-	-	-	36.364058095194316	-
n_W*	-	-	-	-	-	12.458615828961115	-
