	nv	Rv	x	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	V_H	V_BW	Con
nv	0.9999999999999998	-0.9139009268984273	-0.4313109183448554	0.28901204602504194	-0.11238853980411383	-0.12394282389429781	-0.06848820615418197	-0.24768572313655368	0.17111213515899665	-0.12159263861931528	-0.18732200922443482	0.08092180988211993	0.11094866001414715	-0.002689631675826305	-0.008128119045540389	-0.11878482057479928	0.14085233859531593	0.18908192077042846	-0.05222301284708865
Rv	-0.9139009268984273	0.9999999999999997	0.16858269681899712	-0.36136258519686376	0.11559245312403632	0.04869991283314107	0.0760400058015093	0.15955172581761384	-0.12520219259176354	-0.06519103110237023	0.1716336960531405	-0.14274008141872538	-0.15206090019158536	-0.012121725192756476	-0.03106915138810335	0.1287040846058725	-0.023929178487696837	-0.26943220027403364	0.04011130808645952
x	-0.4313109183448554	0.16858269681899712	0.9999999999999999	-0.13788556293616008	-0.2227017441496693	0.18214326353210628	-0.16252608496185947	0.2375250155167047	-0.03994979422430872	0.0697424926432427	-0.10040146055050542	0.1348300482401838	0.000922224393469135	0.08950715413672398	-0.05280649250839914	0.020541914728606368	-0.6191300482883879	0.5661181292982389	-0.04009206383569191
d_Chol	0.28901204602504194	-0.36136258519686376	-0.13788556293616008	1.0	0.22021053959606085	-0.11130187877804591	0.07013453743043106	-0.29093705097476713	0.15017921828774028	0.09720153339489376	-0.005929114594051141	0.1717723676705698	-0.06817482110415915	-0.18022398623248756	0.08099527798438672	-0.03548003895498307	-0.013928160323709957	-0.0169645730037503	0.01980021185437395
s_Chol	-0.11238853980411383	0.11559245312403632	-0.2227017441496693	0.22021053959606085	0.9999999999999998	0.10432814367601367	0.06381801193273114	-0.14474797732831782	-0.21953746744137176	0.13810371128500443	0.23363989836977045	-0.039590456073564886	-0.1604517548602853	0.018728862228460937	0.015680414086670917	0.14426911119614844	0.3685173648282406	-0.017893415767435257	-0.06434919970402346
d_PCN	-0.12394282389429781	0.04869991283314107	0.18214326353210628	-0.11130187877804591	0.10432814367601367	0.9999999999999999	0.014921903875789976	-0.2793801132935769	-0.23157909289769654	-0.32110125546636464	0.27629029930479826	0.14768262210302557	-0.020904481982594245	0.11355477423399542	0.054863779817984425	0.2629620883522102	-0.09382650472169779	0.26809469866768043	-0.03426920610074642
s_PCN	-0.06848820615418197	0.0760400058015093	-0.16252608496185947	0.07013453743043106	0.06381801193273114	0.014921903875789976	1.0	-0.2655370288641458	-0.15071806600926962	0.18702241280159176	0.06288906411517864	-0.021879044281021214	0.05318792783268867	-0.32329272694510225	0.07317832863471413	0.1981421714761241	0.016741061532726295	-0.10510241735131576	0.16714091750348684
d_CG	-0.24768572313655368	0.15955172581761384	0.2375250155167047	-0.29093705097476713	-0.14474797732831782	-0.2793801132935769	-0.2655370288641458	1.0	0.06047761908904342	0.08382764759428227	0.13815577502486293	0.10291998961323505	0.16563285752207949	0.14251439919403341	-0.24936506599743544	0.18698059862332117	-0.1503846153288755	-0.05331583840179716	-0.1789099815320793
s_CG	0.17111213515899665	-0.12520219259176354	-0.03994979422430872	0.15017921828774028	-0.21953746744137176	-0.23157909289769654	-0.15071806600926962	0.06047761908904342	1.0	0.13822945552329277	-0.26793027436373934	-0.06871603672869651	-0.2854937015644882	0.008729738050335167	-0.2470743147554417	-0.23405832933138468	0.04739843505427633	0.14483692097239692	0.08247502754786942
dD_C	-0.12159263861931528	-0.06519103110237023	0.0697424926432427	0.09720153339489376	0.13810371128500443	-0.32110125546636464	0.18702241280159176	0.08382764759428227	0.13822945552329277	0.9999999999999999	-0.5132368265967466	-0.32268125364555345	-0.10671970816134943	-0.37381475499022015	-0.19759266141389162	-0.19644099898913175	0.42281341969128844	-0.03004930987408676	0.2517990024466343
