# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
# Pearson correlation coefficient matrix,
# see scipy.stats.pearsonr() docs for details.
# -----------------------------------
	nv	Rv	x_p	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	V_H	V_BW	Con
nv	1.0	-0.9012042442956776	-0.2829253405349015	-0.08290723414918105	0.10214974093598841	0.023870318875288656	-0.07092526832197713	-0.20062706855219703	-0.004925296350460285	-0.15165973505579178	-0.00919859273734754	0.00041185703270488205	0.016634966039857063	0.1272913113679379	0.24068430536756966	-0.3178085949409486	0.15585540423779945	0.19448655081027955	-0.20798460816730902
Rv	-0.9012042442956776	1.0	-0.016528554290513794	0.12291795008212884	-0.07522734923474639	0.04227632364220249	0.2498473269504447	0.20978655448506783	0.04296978353081402	-0.07219538085213158	-0.07471499243588925	-0.019797160514379512	-0.05444002687174749	-0.15063067029784122	-0.14506888818771968	0.2105814328991714	0.06630697133283135	-0.22105315589886743	0.21295100322857236
x_p	-0.2829253405349015	-0.016528554290513794	0.9999999999999998	-0.14817608656466336	0.09054456251809503	0.16126657147924003	-0.26385204301934073	-0.06047352408364125	0.0731497172734851	0.10866850742230826	-0.22146882697707393	0.11000094223483671	0.0744589014971887	0.07892086019273523	-0.0981307344793748	0.5011769414269237	-0.5693643832977413	0.5883479026023903	0.02344378819867836
d_Chol	-0.08290723414918105	0.12291795008212884	-0.14817608656466336	0.9999999999999998	0.12023611018372865	-0.1791912832492481	0.09129013593698439	0.07985512364604522	0.03841531729129965	0.11956275506114983	-0.2303527622217052	0.08735395644627542	0.0016181096978764714	-0.15156487421479392	0.05915878121559823	-0.05918316915702791	0.13007105070394376	-0.18587502073328013	0.0106013466292766
s_Chol	0.10214974093598841	-0.07522734923474639	0.09054456251809503	0.12023611018372865	1.0	0.05351820110684803	-0.10031992092828336	-0.14727308990935084	-0.06617089400819319	-0.10126405652091901	-0.06776165794578964	0.037568387507335405	0.09129258795795753	0.19703799478592549	-0.024005012873124378	0.07956113239523688	-0.037345922363622525	0.16552086260407123	-0.017427508398363822
d_PCN	0.023870318875288656	0.04227632364220249	0.16126657147924003	-0.1791912832492481	0.05351820110684803	1.0	-0.2156745233545923	-0.12169881128211282	0.05528846673902443	-0.7221675549179645	0.11678924085707384	-0.051159334346228595	-0.21573339588056234	-0.03285187064679707	-0.04846125846322073	0.21590452396915738	-0.10573134524902397	0.40007445367216815	-0.020752089146689953
s_PCN	-0.07092526832197713	0.2498473269504447	-0.26385204301934073	0.09129013593698439	-0.10031992092828336	-0.2156745233545923	1.0	0.06602958951702911	0.012635524163480308	-0.16223981216597566	-0.28774715542978024	-0.13277826967405704	-0.012285362450801425	-0.05134039761247533	0.08865903653185898	0.07814294163845513	-0.10649147703435871	-0.2406851953954866	-0.02382397660698727
d_CG	-0.20062706855219703	0.20978655448506783	-0.06047352408364125	0.07985512364604522	-0.14727308990935084	-0.12169881128211282	0.06602958951702911	0.9999999999999998	-0.15561799303191354	0.07900834566396076	0.0010474699230551832	-0.026961575737047064	-0.041391293133551416	-0.07983621056108965	-0.3199612979776371	0.0038937580112344827	0.19686389115572717	-0.09523983693694979	0.26960161958046786
s_CG	-0.004925296350460285	0.04296978353081402	0.0731497172734851	0.03841531729129965	-0.06617089400819319	0.05528846673902443	0.012635524163480308	-0.15561799303191354	1.0	-0.11079115532952902	-0.15487537250029482	0.3017595955755313	-0.10207748626797983	-0.12171219184209248	0.018318369678960847	0.06828853881801225	-0.029542842344383563	0.14993672206883354	-0.008807177708128788
dD_C	-0.15165973505579178	-0.07219538085213158	0.10866850742230826	0.11956275506114983	-0.10126405652091901	-0.7221675549179645	-0.16223981216597566	0.07900834566396076	-0.11079115532952902	1.0	-0.11486971222125177	0.15010890440506328	0.14136276297534858	-0.05969220365662081	-0.3474769114056394	-0.017805015762385912	0.2158047177379894	-0.1733713363552221	0.01110401319336364
r_D_C	-0.00919859273734754	-0.07471499243588925	-0.22146882697707393	-0.2303527622217052	-0.06776165794578964	0.11678924085707384	-0.28774715542978024	0.0010474699230551832	-0.15487537250029482	-0.11486971222125177	0.9999999999999998	-0.11261121447874908	0.07580471089551002	-0.0539307142985607	-0.06699344387653909	-0.19476870743347593	-0.2819709212492294	-0.33119690026078846	0.0984658486773553
s_CH2	0.00041185703270488205	-0.019797160514379512	0.11000094223483671	0.08735395644627542	0.037568387507335405	-0.051159334346228595	-0.13277826967405704	-0.026961575737047064	0.3017595955755313	0.15010890440506328	-0.11261121447874908	0.9999999999999999	0.009777385499970787	-0.26318483250789815	-0.006672648504514584	0.07069091437799062	0.00442893743524387	0.14895740489359688	-0.014885928276682184
s_CH3	0.016634966039857063	-0.05444002687174749	0.0744589014971887	0.0016181096978764714	0.09129258795795753	-0.21573339588056234	-0.012285362450801425	-0.041391293133551416	-0.10207748626797983	0.14136276297534858	0.07580471089551002	0.009777385499970787	1.0	0.1582515183174129	0.004553802023476224	-0.08169378928965254	-0.18791542942891137	-0.023797605638328306	0.08462917475035697
r_PCN	0.1272913113679379	-0.15063067029784122	0.07892086019273523	-0.15156487421479392	0.19703799478592549	-0.03285187064679707	-0.05134039761247533	-0.07983621056108965	-0.12171219184209248	-0.05969220365662081	-0.0539307142985607	-0.26318483250789815	0.1582515183174129	0.9999999999999998	0.08935658543127814	0.15337868679445976	0.009639398110873588	0.11624235499546817	-0.04759933474415225
r_CG	0.24068430536756966	-0.14506888818771968	-0.0981307344793748	0.05915878121559823	-0.024005012873124378	-0.04846125846322073	0.08865903653185898	-0.3199612979776371	0.018318369678960847	-0.3474769114056394	-0.06699344387653909	-0.006672648504514584	0.004553802023476224	0.08935658543127814	1.0	-0.03059695187217814	-0.07102667792524867	-0.12024447096838248	-0.11477299388706927
r32	-0.3178085949409486	0.2105814328991714	0.5011769414269237	-0.05918316915702791	0.07956113239523688	0.21590452396915738	0.07814294163845513	0.0038937580112344827	0.06828853881801225	-0.017805015762385912	-0.19476870743347593	0.07069091437799062	-0.08169378928965254	0.15337868679445976	-0.03059695187217814	0.9999999999999998	-0.11539061808998885	0.27808700318408264	0.03515914702561907
V_H	0.15585540423779945	0.06630697133283135	-0.5693643832977413	0.13007105070394376	-0.037345922363622525	-0.10573134524902397	-0.10649147703435871	0.19686389115572717	-0.029542842344383563	0.2158047177379894	-0.2819709212492294	0.00442893743524387	-0.18791542942891137	0.009639398110873588	-0.07102667792524867	-0.11539061808998885	1.0	-0.07905191041406584	0.02840873717520391
V_BW	0.19448655081027955	-0.22105315589886743	0.5883479026023903	-0.18587502073328013	0.16552086260407123	0.40007445367216815	-0.2406851953954866	-0.09523983693694979	0.14993672206883354	-0.1733713363552221	-0.33119690026078846	0.14895740489359688	-0.023797605638328306	0.11624235499546817	-0.12024447096838248	0.27808700318408264	-0.07905191041406584	1.0	-0.1405065980185109
Con	-0.20798460816730902	0.21295100322857236	0.02344378819867836	0.0106013466292766	-0.017427508398363822	-0.020752089146689953	-0.02382397660698727	0.26960161958046786	-0.008807177708128788	0.01110401319336364	0.0984658486773553	-0.014885928276682184	0.08462917475035697	-0.04759933474415225	-0.11477299388706927	0.03515914702561907	0.02840873717520391	-0.1405065980185109	1.0
