# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
q	I_data	I_err	I_fit
0.00506979	929190.0	3224.02	920172.0550421883
0.00559514	730804.0	2502.9	737889.8538608478
0.00612049	586362.0	2119.28	600005.2421973622
0.00664584	489746.0	1790.84	494910.13349508104
0.00717119	417467.0	1640.41	413900.02832982416
0.00769654	353755.0	1411.87	350638.8706230162
0.00822189	305881.0	1287.41	300569.1767388801
0.00874724	267694.0	1193.88	260414.354969932
0.00927259	235998.0	1042.77	227803.69143051366
0.00979794	207139.0	963.626	201004.77018735302
0.0103233	185574.0	847.422	178736.71277212873
0.0108486	164944.0	796.629	160044.44168563487
0.011374	147466.0	713.017	144198.39707543264
0.0118993	133251.0	671.196	130651.01469989427
0.0124247	121061.0	614.708	118969.4233401398
0.01295	110527.0	600.833	108824.52306395088
0.0134754	100340.0	595.288	99949.73804067625
0.0140007	93228.3	560.189	92139.73577676313
0.0145261	85524.0	541.887	85224.18105521271
0.0150515	78923.9	514.118	79069.3165247617
0.0155768	72773.5	487.123	73565.80738532424
0.0161022	67865.3	491.234	68620.92219059115
0.0166275	63269.2	437.837	64161.52639052035
0.0171529	58909.6	447.579	60123.352603759966
0.0176782	55901.3	419.799	56455.41928047725
0.0182036	52693.0	410.754	53111.938805947255
0.0187289	49345.5	395.945	50056.451973210475
0.0192543	46836.0	374.797	47255.522327048966
0.0197796	43801.8	373.716	44682.47644364025
0.020305	42418.0	354.441	42312.35813468408
0.0208303	39838.6	353.202	40125.2572549849
0.0213557	38106.7	336.094	38102.18516886092
0.021881	36006.0	332.184	36228.01491804077
0.0224064	34842.7	324.625	34488.05167901571
0.0229317	33385.0	312.126	32870.622144422676
