# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
# Table of results (median and MAD) along with parameter initialization.
# * Calculated values
# X^2 from median values: 3.0069025193681536
# -----------------------------------
name	value	free	prior	low_l	high_l	median	MAD
Norm	0.01	False	-	0.0001	1.0	0.01	0.0
nv	2.3	True	-	0.8	4.8	2.3290318870397617	0.1423113224582795
Rv	390.0	True	-	290.0	490.0	387.1778590872923	14.37374096780107
Z	5.1	False	-	5.1	18.0	5.1	0.0
x_p	0.45	True	0.04	0.36000000000000004	0.54	0.4498534779858415	0.010488898240716943
d_Chol	2.7	True	0.02	2.43	2.9700000000000006	2.7062324923932284	0.03474582723233022
s_Chol	3.0	True	0.02	2.7	3.3000000000000003	2.9950488793252346	0.037950269054801034
d_PCN	4.1	True	0.08	2.4599999999999995	5.739999999999999	4.172637682456074	0.23347134793914792
s_PCN	2.5	True	0.2	0.0	5.0	2.3576673609088794	0.3183014004343536
d_CG	0.8	True	0.08	0.48	1.1199999999999999	0.8079862806744819	0.04390528235679175
s_CG	2.5	True	0.2	0.0	5.0	2.219012501890919	0.2518819259465912
dD_C	27.5	True	0.03	23.375	31.624999999999996	27.47874553532854	0.384566783017636
r_D_C	0.15	True	-	0.055	0.2	0.1385479910937192	0.008800705893829142
s_CH2	2.5	True	0.02	2.25	2.75	2.5035914994606268	0.04043302525758352
d_CH	9.0	False	-	8.0	10.0	9.0	0.0
s_CH	3.05	False	0.02	2.745	3.355	3.05	0.0
s_CH3	3.4	True	0.05	2.55	4.25	3.426545747680784	0.11338807900458603
r_PCN	0.29	True	0.02	0.261	0.319	0.2904173619148135	0.004067020691170431
r_CG	0.45	True	0.02	0.405	0.49500000000000005	0.4502954564584295	0.004970846551507507
r12	0.81	False	-	0.73	0.89	0.81	0.0
r32	2.09	True	0.02	1.881	2.299	2.0890140316441395	0.03147240282368524
T	37.0	False	-	32.0	52.0	37.0	0.0
V_H	324.0	True	0.02	291.6	356.40000000000003	321.8808185052884	3.917530645526483
V_BW	28.9	True	0.01	27.455	30.345	28.482461823386583	0.09585120327629681
Con	180.0	True	-	150.0	210.0	180.79693676785422	5.0401313336910505
A_L*	-	-	-	-	-	68.43608426091377	0.9577673308523842
D_B*	-	-	-	-	-	36.83745683620062	0.515542540027358
D_pp*	-	-	-	-	-	36.67168828043773	-
n_W*	-	-	-	-	-	13.807921066585296	-
